1,2,2023-11-25,other
2,4,2023-10-08,price
3,5,2023-11-28,budget
4,6,2024-01-16,product_fit
5,7,2025-01-16,other
6,8,2024-05-12,product_fit
7,10,2024-03-28,other
8,11,2024-06-27,other
9,12,2023-08-26,product_fit
10,13,2024-04-29,competitor
11,14,2023-10-11,product_fit
12,16,2025-03-28,other
13,19,2025-02-28,price
14,24,2024-11-12,product_fit
15,25,2023-07-03,competitor
16,26,2024-08-14,competitor
17,28,2024-05-21,other
18,29,2024-06-23,competitor
19,31,2025-10-09,other
20,32,2024-01-11,competitor
21,33,2024-04-28,product_fit
22,34,2025-02-06,other
23,35,2023-10-04,product_fit
24,36,2024-07-29,price
25,37,2023-03-07,product_fit
26,39,2024-08-05,competitor
27,43,2023-11-02,budget
28,46,2023-12-03,product_fit
29,48,2024-03-05,competitor
30,49,2024-02-08,price
31,52,2023-11-05,budget
32,53,2024-06-09,competitor
33,54,2023-09-04,other
34,56,2024-06-19,competitor
35,57,2025-04-22,product_fit
36,58,2023-07-08,price
37,59,2024-07-28,price
38,60,2024-07-15,budget
39,61,2024-02-27,budget
40,62,2024-06-14,other
41,63,2023-05-07,product_fit
42,64,2024-04-29,other
43,65,2024-03-24,product_fit
44,66,2024-09-19,product_fit
45,67,2025-06-10,budget
46,71,2024-02-12,budget
47,72,2023-06-03,product_fit
48,73,2024-05-26,budget
49,75,2024-10-01,budget
50,76,2024-06-24,budget
51,77,2024-12-05,budget
52,78,2025-05-20,other
53,80,2024-06-11,other
54,81,2023-09-11,price
55,84,2024-02-23,budget
56,85,2024-05-23,other
57,86,2025-01-12,price
58,87,2025-03-19,competitor
59,89,2024-11-20,other
60,90,2024-09-09,product_fit
61,94,2023-07-06,budget
62,95,2023-09-20,price
63,101,2024-08-22,price
64,102,2025-01-01,budget
65,103,2024-02-05,competitor
66,110,2024-04-26,product_fit
67,111,2023-09-25,other
68,112,2023-12-16,competitor
69,113,2024-02-12,budget
70,114,2024-10-16,budget
71,115,2025-09-08,budget
72,116,2024-04-27,product_fit
73,118,2024-06-10,price
74,120,2024-08-29,budget
75,121,2025-06-27,price
76,122,2024-09-03,product_fit
77,123,2024-07-11,product_fit
78,124,2024-11-28,other
79,125,2025-06-27,product_fit
80,126,2024-04-10,other
81,128,2023-11-01,product_fit
82,131,2023-06-19,other
83,132,2024-03-22,product_fit
84,133,2024-01-13,budget
85,134,2025-02-21,budget
86,135,2024-08-29,budget
87,137,2023-12-02,other
88,139,2023-08-15,other
89,141,2024-11-15,other
90,142,2024-03-08,competitor
91,143,2024-01-18,other
92,146,2024-01-17,other
93,147,2024-06-07,competitor
94,150,2023-12-22,price
95,151,2024-05-26,budget
96,153,2024-10-28,other
97,154,2024-06-15,competitor
98,155,2023-08-23,other
99,156,2024-03-18,budget
100,157,2024-07-03,product_fit
101,158,2023-10-16,competitor
102,162,2024-01-23,competitor
103,163,2023-12-28,budget
104,164,2025-04-18,product_fit
105,166,2025-04-07,other
106,168,2024-08-09,budget
107,169,2024-03-28,product_fit
108,171,2025-01-25,price
109,172,2025-05-20,budget
110,176,2023-10-22,other
111,178,2024-07-12,budget
112,180,2023-12-04,price
113,181,2023-08-16,product_fit
114,182,2024-12-20,other
115,183,2025-03-15,competitor
116,184,2024-01-21,competitor
117,185,2025-03-19,budget
118,186,2024-06-08,budget
119,187,2024-01-13,budget
120,189,2025-03-18,competitor
121,192,2024-06-09,competitor
122,193,2024-07-11,competitor
123,194,2024-09-18,other
124,198,2024-09-27,competitor
125,199,2025-01-11,product_fit
126,200,2024-01-15,price
127,202,2025-03-05,budget
128,203,2023-05-18,product_fit
129,204,2023-09-01,other
130,206,2023-07-21,competitor
131,208,2023-12-24,competitor
132,211,2025-06-19,competitor
133,212,2025-09-07,product_fit
134,213,2024-07-26,competitor
135,214,2024-02-21,budget
136,215,2024-05-16,price
137,217,2024-06-02,competitor
138,218,2024-01-20,budget
139,220,2023-12-14,other
140,221,2024-01-10,budget
141,222,2024-03-21,product_fit
142,223,2024-06-17,budget
143,224,2025-05-02,product_fit
144,227,2025-11-16,budget
145,229,2024-02-29,price
146,232,2023-10-15,product_fit
147,234,2023-08-11,budget
148,235,2023-10-21,competitor
149,236,2023-11-11,budget
150,237,2024-03-17,price
151,239,2024-05-07,other
152,240,2024-04-12,other
153,241,2023-09-17,price
154,242,2024-02-13,product_fit
155,243,2024-03-03,competitor
156,244,2023-10-12,price
157,245,2024-03-24,budget
158,246,2024-08-29,product_fit
159,247,2024-04-25,price
160,248,2023-07-05,other
161,250,2023-05-21,budget
162,254,2023-12-25,other
163,256,2023-03-27,competitor
164,258,2023-07-05,product_fit
165,259,2023-08-26,other
166,260,2024-01-11,product_fit
167,262,2024-01-17,competitor
168,264,2025-09-15,price
169,265,2025-09-10,budget
170,267,2023-06-28,other
171,268,2025-11-28,other
172,271,2025-05-03,competitor
173,273,2024-02-07,price
174,274,2023-11-24,other
175,275,2024-09-26,price
176,279,2023-12-14,other
177,282,2023-03-25,other
178,283,2023-05-05,competitor
179,284,2024-05-14,other
180,288,2024-09-23,other
181,293,2024-07-15,price
182,294,2025-06-03,other
183,295,2024-10-14,budget
184,297,2024-04-10,competitor
185,298,2025-07-19,other
186,299,2024-10-22,other
187,300,2025-12-27,competitor
188,302,2024-09-21,product_fit
189,304,2023-06-02,budget
190,309,2023-10-12,budget
191,311,2024-05-21,price
192,312,2024-05-26,product_fit
193,314,2025-08-02,budget
194,315,2024-04-23,other
195,316,2023-07-30,competitor
