1,1,2023-05-11,2024-05-11,190.00,paid
2,1,2024-05-11,2025-05-11,190.00,paid
3,9,2023-10-13,2024-10-13,490.00,paid
4,9,2024-10-13,2025-10-13,490.00,paid
5,10,2023-01-31,2023-02-28,99.00,paid
6,10,2023-02-28,2023-03-28,99.00,paid
7,10,2023-03-28,2023-04-28,99.00,paid
8,10,2023-04-28,2023-05-28,99.00,paid
9,10,2023-05-28,2023-06-28,99.00,paid
10,10,2023-06-28,2023-07-28,99.00,paid
11,10,2023-07-28,2023-08-28,99.00,paid
12,10,2023-08-28,2023-09-28,99.00,paid
13,10,2023-09-28,2023-10-28,99.00,paid
14,10,2023-10-28,2023-11-28,99.00,paid
15,10,2023-11-28,2023-12-28,99.00,paid
16,10,2023-12-28,2024-01-28,99.00,paid
17,10,2024-01-28,2024-02-28,99.00,paid
18,10,2024-02-28,2024-03-28,99.00,paid
19,12,2023-03-26,2023-04-26,19.00,paid
20,12,2023-04-26,2023-05-26,19.00,paid
21,12,2023-05-26,2023-06-26,19.00,paid
22,12,2023-06-26,2023-07-26,19.00,paid
23,12,2023-07-26,2023-08-26,19.00,paid
24,16,2023-12-31,2024-01-31,19.00,paid
25,16,2024-01-31,2024-02-29,19.00,paid
26,16,2024-02-29,2024-03-29,19.00,paid
27,16,2024-03-29,2024-04-29,19.00,paid
28,16,2024-04-29,2024-05-29,19.00,paid
29,16,2024-05-29,2024-06-29,19.00,paid
30,16,2024-06-29,2024-07-29,19.00,paid
31,16,2024-07-29,2024-08-29,19.00,paid
32,16,2024-08-29,2024-09-29,19.00,paid
33,16,2024-09-29,2024-10-29,19.00,paid
34,16,2024-10-29,2024-11-29,19.00,paid
35,16,2024-11-29,2024-12-29,19.00,paid
36,16,2024-12-29,2025-01-29,19.00,paid
37,16,2025-01-29,2025-02-28,19.00,paid
38,16,2025-02-28,2025-03-28,19.00,paid
39,17,2023-04-29,2023-05-29,19.00,paid
40,17,2023-05-29,2023-06-29,19.00,paid
41,17,2023-06-29,2023-07-29,19.00,paid
42,17,2023-07-29,2023-08-29,19.00,paid
43,17,2023-08-29,2023-09-29,19.00,paid
44,17,2023-09-29,2023-10-29,19.00,paid
45,17,2023-10-29,2023-11-29,19.00,paid
46,17,2023-11-29,2023-12-29,19.00,paid
47,17,2023-12-29,2024-01-29,19.00,paid
48,17,2024-01-29,2024-02-29,19.00,paid
49,17,2024-02-29,2024-03-29,19.00,paid
50,17,2024-03-29,2024-04-29,19.00,paid
51,17,2024-04-29,2024-05-29,19.00,paid
52,17,2024-05-29,2024-06-29,19.00,paid
53,17,2024-06-29,2024-07-29,19.00,paid
54,17,2024-07-29,2024-08-29,19.00,paid
55,17,2024-08-29,2024-09-29,19.00,paid
56,17,2024-09-29,2024-10-29,19.00,paid
57,17,2024-10-29,2024-11-29,19.00,paid
