1,2023-05-11,medium,finance,referral,Germany
2,2023-04-25,large,health,referral,US
3,2023-03-18,large,retail,organic,Germany
4,2023-05-08,large,retail,ads,UK
5,2023-05-28,small,retail,organic,Germany
6,2023-04-16,small,retail,ads,US
7,2023-09-16,small,retail,referral,US
8,2023-02-12,large,retail,ads,India
9,2023-10-13,large,retail,referral,UK
10,2023-01-31,small,finance,organic,US
11,2023-07-27,small,tech,referral,UK
12,2023-03-26,medium,retail,referral,UK
13,2023-05-31,large,tech,organic,India
14,2023-08-11,medium,tech,organic,US
15,2023-07-19,medium,retail,organic,India
16,2023-12-31,small,health,referral,UK
17,2023-04-29,medium,tech,referral,US
18,2023-06-23,medium,tech,ads,UK
19,2023-11-28,small,retail,referral,Germany
20,2023-11-21,large,tech,ads,UK
21,2023-09-17,large,health,ads,India
22,2023-03-27,large,retail,referral,India
23,2023-05-27,small,finance,referral,UK
24,2023-03-12,small,tech,referral,US
25,2023-04-03,large,health,organic,Germany
26,2023-10-14,small,tech,ads,US
27,2023-11-16,small,finance,ads,US
28,2023-07-21,small,finance,referral,UK
29,2023-11-23,medium,finance,organic,US
30,2023-05-25,medium,retail,organic,US
31,2023-01-09,small,tech,referral,Germany
32,2023-08-11,medium,retail,ads,US
33,2023-05-28,large,tech,organic,India
34,2023-12-06,small,tech,referral,India
35,2023-02-04,small,health,ads,India
36,2023-09-30,small,health,organic,US
37,2023-01-07,medium,finance,referral,Germany
38,2023-10-27,large,tech,referral,UK
39,2023-05-05,small,health,organic,UK
40,2023-08-12,medium,health,referral,India
41,2023-08-29,medium,health,ads,US
42,2023-11-17,large,finance,referral,Germany
43,2023-05-02,large,retail,ads,US
44,2023-02-01,small,health,ads,US
45,2023-01-29,small,health,referral,UK
46,2023-07-03,medium,retail,organic,Germany
47,2023-05-29,small,tech,organic,Germany
48,2023-06-05,medium,retail,organic,US
49,2023-02-08,small,finance,organic,Germany
50,2023-06-26,large,tech,referral,UK
51,2023-06-09,small,finance,ads,US
52,2023-08-05,medium,tech,organic,US
53,2023-01-09,large,finance,organic,India
54,2023-07-04,large,tech,ads,Germany
55,2023-10-17,medium,finance,organic,UK
